Transaction_ID,Narration,Pincode,MobileNumber,Name,AccountNumber,AccountType
5e37fc90-f332-4011-8bf0-c426c35a3783,Supplier advance - fabric order,703671,6510148791,Priya Nair,953000860026,Savings
aaf5de8d-66dc-44de-bd1c-3009594e2bad,Advance payment - saree consignment,901353,7742968059,Sunita Devi,718639282116,Current
06351078-a731-4aaf-adab-dd431152697c,Invoice payment - textile goods,385938,6252582060,Priya Nair,449674102489,Savings
9d670de1-4298-403e-84ef-5cac62a7686c,Supplier advance - fabric order,725312,9340782124,Arjun Mehta,807481601949,Overdraft
567940da-6653-4a7c-8a16-cd110ba59f8d,Supplier advance - fabric order,279236,6854863415,Vikram Joshi,509497095708,Current
a667a86e-1342-46a5-8685-4d08acbe38e0,Advance payment - saree consignment,650114,6539419112,Priya Nair,811811327398,Overdraft
e46c1b4c-c454-44a1-a385-3402d84e1bcb,Supplier advance - fabric order,570556,9424755726,Vikram Joshi,939652669879,Current
60ed0e74-2600-496a-8682-aede2a440947,Trade credit settlement,465537,6153727551,Anita Sharma,764567870803,Overdraft
e810a989-9800-4444-a51f-164e182249ea,Supplier advance - fabric order,805337,8683116552,Anita Sharma,325232465371,Overdraft
a87d7d63-be38-4de7-8ab4-1e7deafd6b2d,Pre-disbursement transfer,383895,7552393451,Ramesh Gupta,102209794024,Overdraft
